Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
30.710795250,0,1,0,1,1,1
30.710800375,0,0,0,1,1,1
30.710805625,0,1,0,1,1,1
30.710810875,0,0,0,1,1,1
30.710816125,0,1,0,1,1,1
30.710821375,0,0,0,1,1,1
30.710826625,0,1,0,1,1,1
30.710831875,0,0,0,1,1,1
30.710837125,0,1,0,1,1,1
30.710842250,0,0,0,1,1,1
30.710842875,0,0,1,1,1,1
30.710843250,0,0,0,1,1,1
30.710847625,0,1,0,1,1,1
30.710852750,0,0,0,1,1,1
30.710870250,0,1,0,1,1,1
30.710875500,0,0,0,1,1,1
30.710880750,0,1,0,1,1,1
30.710885875,0,0,0,1,1,1
30.710891250,0,1,0,1,1,1
30.710896375,0,0,0,1,1,1
30.710901750,0,1,0,1,1,1
30.710906875,0,0,0,1,1,1
30.710912250,0,1,0,1,1,1
30.710917375,0,0,0,1,1,1
30.710922625,0,1,0,1,1,1
30.710927875,0,0,0,1,1,1
30.710933125,0,1,0,1,1,1
30.710938375,0,0,0,1,1,1
30.710943625,0,1,0,1,1,1
30.710948750,0,0,0,1,1,1
30.710949375,0,0,1,1,1,1
30.710949750,0,0,0,1,1,1
30.710954125,0,1,0,1,1,1
30.710959250,0,0,0,1,1,1
30.710979250,0,1,0,1,1,1
30.710984500,0,0,0,1,1,1
30.710989750,0,1,0,1,1,1
30.710994875,0,0,0,1,1,1
30.711000250,0,1,0,1,1,1
30.711005375,0,0,0,1,1,1
30.711010750,0,1,0,1,1,1
30.711015875,0,0,0,1,1,1
30.711021250,0,1,0,1,1,1
30.711026375,0,0,0,1,1,1
30.711031625,0,1,0,1,1,1
30.711036875,0,0,0,1,1,1
30.711042125,0,1,0,1,1,1
30.711047375,0,0,0,1,1,1
30.711052625,0,1,0,1,1,1
30.711057750,0,0,0,1,1,1
30.711058375,0,0,1,1,1,1
30.711058750,0,0,0,1,1,1
30.711063125,0,1,0,1,1,1
30.711068250,0,0,0,1,1,1
30.711088250,0,1,0,1,1,1
30.711093500,0,0,0,1,1,1
30.711094000,0,0,1,1,1,1
30.711098750,0,1,1,1,1,1
30.711103875,0,0,1,1,1,1
30.711104375,0,0,0,1,1,1
30.711109250,0,1,0,1,1,1
30.711114375,0,0,0,1,1,1
30.711115000,0,0,1,1,1,1
30.711119750,0,1,1,1,1,1
30.711124875,0,0,1,1,1,1
30.711125250,0,0,0,1,1,1
30.711130250,0,1,0,1,1,1
30.711135375,0,0,0,1,1,1
30.711140625,0,1,0,1,1,1
30.711145875,0,0,0,1,1,1
30.711151125,0,1,0,1,1,1
30.711156375,0,0,0,1,1,1
30.711161625,0,1,0,1,1,1
30.711166875,0,0,0,1,1,1
30.711167375,0,0,1,1,1,1
30.711167750,0,0,0,1,1,1
30.711172125,0,1,0,1,1,1
30.711177250,0,0,0,1,1,1
30.711178375,0,0,1,1,1,1
30.711197250,0,1,1,1,1,1
30.711202500,0,0,1,1,1,1
30.711202875,0,0,0,1,1,1
30.711207750,0,1,0,1,1,1
30.711212875,0,0,0,1,1,1
30.711218250,0,1,0,1,1,1
30.711223375,0,0,0,1,1,1
30.711228750,0,1,0,1,1,1
30.711233875,0,0,0,1,1,1
30.711239250,0,1,0,1,1,1
30.711244375,0,0,0,1,1,1
30.711244875,0,0,1,1,1,1
30.711249625,0,1,1,1,1,1
30.711254875,0,0,1,1,1,1
30.711260125,0,1,1,1,1,1
30.711265375,0,0,1,1,1,1
30.711265750,0,0,0,1,1,1
30.711270625,0,1,0,1,1,1
30.711275875,0,0,0,1,1,1
30.711276500,0,0,1,1,1,1
30.711276750,0,0,0,1,1,1
30.711281125,0,1,0,1,1,1
30.711286250,0,0,0,1,1,1
30.711287375,0,0,1,1,1,1
30.711306250,0,1,1,1,1,1
30.711311500,0,0,1,1,1,1
30.711311875,0,0,0,1,1,1
30.711316750,0,1,0,1,1,1
30.711322000,0,0,0,1,1,1
30.711327250,0,1,0,1,1,1
30.711332375,0,0,0,1,1,1
30.711337750,0,1,0,1,1,1
30.711342875,0,0,0,1,1,1
30.711348250,0,1,0,1,1,1
30.711353375,0,0,0,1,1,1
30.711354000,0,0,1,1,1,1
30.711358750,0,1,1,1,1,1
30.711363875,0,0,1,1,1,1
30.711369125,0,1,1,1,1,1
30.711374375,0,0,1,1,1,1
30.711374750,0,0,0,1,1,1
30.711379625,0,1,0,1,1,1
30.711384875,0,0,0,1,1,1
30.711385500,0,0,1,1,1,1
30.711385750,0,0,0,1,1,1
30.711390125,0,1,0,1,1,1
30.711395250,0,0,0,1,1,1
30.711400375,0,0,1,1,1,1
30.711415250,0,1,1,1,1,1
30.711420500,0,0,1,1,1,1
30.711420875,0,0,0,1,1,1
30.711425750,0,1,0,1,1,1
30.711431000,0,0,0,1,1,1
30.711436250,0,1,0,1,1,1
30.711441375,0,0,0,1,1,1
30.711446750,0,1,0,1,1,1
30.711451875,0,0,0,1,1,1
30.711457250,0,1,0,1,1,1
30.711462375,0,0,0,1,1,1
30.711463000,0,0,1,1,1,1
30.711467750,0,1,1,1,1,1
30.711472875,0,0,1,1,1,1
30.711478125,0,1,1,1,1,1
30.711483375,0,0,1,1,1,1
30.711483875,0,0,0,1,1,1
30.711488625,0,1,0,1,1,1
30.711493875,0,0,0,1,1,1
30.711494500,0,0,1,1,1,1
30.711494750,0,0,0,1,1,1
30.711499125,0,1,0,1,1,1
30.711504250,0,0,0,1,1,1
30.711524250,0,1,0,1,1,1
30.711529500,0,0,0,1,1,1
30.711530125,0,0,1,1,1,1
30.711534750,0,1,1,1,1,1
30.711540000,0,0,1,1,1,1
30.711540375,0,0,0,1,1,1
30.711545250,0,1,0,1,1,1
30.711550500,0,0,0,1,1,1
30.711555750,0,1,0,1,1,1
30.711560875,0,0,0,1,1,1
30.711566250,0,1,0,1,1,1
30.711571375,0,0,0,1,1,1
30.711576750,0,1,0,1,1,1
30.711581875,0,0,0,1,1,1
30.711587250,0,1,0,1,1,1
30.711592375,0,0,0,1,1,1
30.711597625,0,1,0,1,1,1
30.711602875,0,0,0,1,1,1
30.711603500,0,0,1,1,1,1
30.711603750,0,0,0,1,1,1
30.711608125,0,1,0,1,1,1
30.711613375,0,0,0,1,1,1
30.711633375,0,1,0,1,1,1
30.711638500,0,0,0,1,1,1
30.711643750,0,1,0,1,1,1
30.711649000,0,0,0,1,1,1
30.711654250,0,1,0,1,1,1
30.711659500,0,0,0,1,1,1
30.711664750,0,1,0,1,1,1
30.711669875,0,0,0,1,1,1
30.711675250,0,1,0,1,1,1
30.711680375,0,0,0,1,1,1
